#r	pG()r
0.1	0.0
0.3	0.0
0.5	0.0
0.7	0.0
0.9	0.0
1.1	0.0
1.3	0.0
1.5	0.0
1.7	0.0
1.9	0.10905125408942197
2.1	0.4089422028353324
2.3	1.3631406761177747
2.5	2.262813522355506
2.7	2.9171210468920377
2.9	1.9083969465648847
3.1	1.39040348964013
3.3	0.9814612868047977
3.5	0.9541984732824423
3.7	0.7906215921483094
3.9	0.7633587786259538
4.1	0.8724100327153758
4.3	0.4634678298800434
4.5	0.7088331515812428
4.7	0.8178844056706648
4.9	0.8178844056706648
5.1	1.0087241003271532
5.3	1.1723009814612861
5.5	1.2540894220283527
5.7	1.1177753544165754
5.9	0.9814612868047977
6.1	0.9269356597600868
6.3	1.1723009814612861
6.5	0.9269356597600868
6.7	0.9269356597600868
6.9	0.8178844056706648
7.1	1.0087241003271532
7.3	0.8178844056706648
7.5	0.8724100327153758
7.7	1.0905125408942198
7.9	0.9541984732824423
8.1	1.0632497273718642
8.3	1.0087241003271532
8.5	1.2268266085059971
8.7	0.9541984732824423
8.9	0.9814612868047977
9.1	0.8451472191930203
9.3	1.0087241003271532
9.5	0.6815703380588873
9.7	1.3358778625954193
9.9	0.9541984732824423
10.1	0.9814612868047977
10.3	1.1177753544165754
10.5	0.9269356597600868
10.7	0.7906215921483094
10.9	0.9541984732824423
11.1	0.9541984732824423
11.3	1.0359869138495088
11.5	0.9269356597600868
11.7	1.281352235550708
11.9	1.1995637949836417
12.1	1.0087241003271532
12.3	0.8451472191930203
12.5	0.7906215921483094
12.7	0.8178844056706648
12.9	1.0632497273718642
13.1	0.9541984732824423
13.3	0.8178844056706648
13.5	1.1995637949836417
13.7	1.1995637949836417
13.9	1.0632497273718642
14.1	1.0632497273718642
14.3	0.8178844056706648
14.5	0.8178844056706648
14.7	1.39040348964013
14.9	0.9814612868047977
